date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:41	42930/42930	---MCZ	200	added ('OK')	application/pdf	etag:%22e41554e-a7b2-52e412ad912a7%22	http://www.msit.in/ckeditor_assets/attachments/102/report_docx.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/102/report_docx.pdf	(from http://www.msit.in/pages/26)
17:27:24	1465009/1465009	---MCZ	200	added ('OK')	application/pdf	etag:%22183fd1bd-1a4419-52d876b3b53a9%22	http://www.msit.in/ckeditor_assets/attachments/44/avensis_report.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/44/avensis_report.pdf	(from http://www.msit.in/pages/26)
17:27:28	24808/24808	---M-Z	200	added ('OK')	application/pdf	etag:%2241ac2b9-60e8-539e3d97bb8f2%22	http://www.msit.in/ckeditor_assets/attachments/188/updated_pplacements_2016_sheet_xls_-_sheet1.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/188/updated_pplacements_2016_sheet_xls_-_sheet1.pdf	(from http://www.msit.in/pages/19)
17:27:30	7678/7678	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Oct%202014%2021:35:10%20GMT	https://media.licdn.com/mpr/mpr/shrinknp_200_200/p/8/005/048/3b1/239d69b.jpg	C:/Downloads/MSIT/MSIT/media.licdn.com/mpr/mpr/shrinknp_200_200/p/8/005/048/3b1/239d69b.jpg	(from http://www.msit.in/pages/19)
17:27:39	360542/360542	---MCZ	200	added ('OK')	application/pdf	etag:%221745c387-5805e-539dcaf080e50%22	http://www.msit.in/ckeditor_assets/attachments/186/department_of_electrical_electronics_engineering_organized_an_industrial_visit_to220kv_grid_substation_pappankalan-i_dwarka_on_13th_sept_2015_for_eee_5th_semester_students.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/186/department_of_electrical_electronics_engineering_organized_an_industrial_visit_to220kv_grid_substation_pappankalan-i_dwarka_on_13th_sept_2015_for_eee_5th_semester_studen	(from http://www.msit.in/pages/26)
17:27:40	62498/62498	---M--	200	added ('OK')	image/jpeg	etag:%22b265405-f422-52e0389c075b7%22	http://www.msit.in/ckeditor_assets/pictures/96/content_new_photograph.jpg	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/96/content_new_photograph.jpg	(from http://www.msit.in/pages/21)
17:27:41	4798/4798	---M--	200	added ('OK')	image/jpeg	etag:%22703b8b3-12be-52dc1a0ef9a2c%22	http://www.msit.in/ckeditor_assets/pictures/89/content_director.jpg	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/89/content_director.jpg	(from http://www.msit.in/pages/21)
17:27:42	4238/4238	---M--	200	added ('OK')	image/jpeg	etag:%22514cdab-108e-52dc188691a27%22	http://www.msit.in/ckeditor_assets/pictures/88/content_poonam_bansal.jpg	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/88/content_poonam_bansal.jpg	(from http://www.msit.in/pages/21)
17:27:46	763603/763603	---MCZ	200	added ('OK')	application/pdf	etag:%221b1ae61e-ba6d3-52d876ef0b7f0%22	http://www.msit.in/ckeditor_assets/attachments/47/report_of_seminar.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/47/report_of_seminar.pdf	(from http://www.msit.in/pages/26)
17:27:58	110900/110900	---M--	200	added ('OK')	image/jpeg	etag:%22184182c3-1b134-52d8857170f56%22	http://www.msit.in/ckeditor_assets/pictures/81/content_9.jpg	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/81/content_9.jpg	(from http://www.msit.in/pages/1)
17:27:59	107487/107487	---M--	200	added ('OK')	image/png	etag:%2280732a9-1a3df-52dc1aa9aac9c%22	http://www.msit.in/ckeditor_assets/pictures/90/content_surajmal.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/90/content_surajmal.png	(from http://www.msit.in/pages/3)
17:28:15	101822/101822	---M--	200	added ('OK')	image/png	etag:%22210684ec-18dbe-531610e7b83e4%22	http://www.msit.in/ckeditor_assets/pictures/123/content_se_oopslab.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/123/content_se_oopslab.png	(from http://www.msit.in/pages/4)
17:28:21	232184/232184	---M--	200	added ('OK')	image/png	etag:%221f0ff528-38af8-531610aeddb28%22	http://www.msit.in/ckeditor_assets/pictures/122/content_ada_ailab.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/122/content_ada_ailab.png	(from http://www.msit.in/pages/4)
17:28:35	81260/81260	---M--	200	added ('OK')	image/png	etag:%222b4e2a39-13d6c-531613c97281d%22	http://www.msit.in/ckeditor_assets/pictures/126/content_mpmc.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/126/content_mpmc.png	(from http://www.msit.in/pages/4)
17:28:39	258839/258839	---M--	200	added ('OK')	image/png	etag:%222206f240-3f317-531611224c6f5%22	http://www.msit.in/ckeditor_assets/pictures/124/content_ds_weblab.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/124/content_ds_weblab.png	(from http://www.msit.in/pages/4)
17:28:46	71591/71591	---M--	200	added ('OK')	image/png	etag:%222c0081ad-117a7-531613da0fa3b%22	http://www.msit.in/ckeditor_assets/pictures/127/content_edc.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/127/content_edc.png	(from http://www.msit.in/pages/4)
17:28:50	225680/225680	---M--	200	added ('OK')	image/png	etag:%221902c014-37190-5316117839c77%22	http://www.msit.in/ckeditor_assets/pictures/125/content_foc_coalab.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/125/content_foc_coalab.png	(from http://www.msit.in/pages/4)
17:28:50	65222/65222	---M--	200	added ('OK')	image/png	etag:%222d1ed8c8-fec6-5316141dd746b%22	http://www.msit.in/ckeditor_assets/pictures/128/content_consumer_elec.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/128/content_consumer_elec.png	(from http://www.msit.in/pages/4)
17:28:57	72127/72127	---M--	200	added ('OK')	image/png	etag:%222e16176d-119bf-531614382883d%22	http://www.msit.in/ckeditor_assets/pictures/129/content_projlab.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/129/content_projlab.png	(from http://www.msit.in/pages/4)
17:29:01	72770/72770	---M--	200	added ('OK')	image/png	etag:%22260a0772-11c42-53161464a87e4%22	http://www.msit.in/ckeditor_assets/pictures/130/content_analog.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/130/content_analog.png	(from http://www.msit.in/pages/4)
17:29:03	81979/81979	---M--	200	added ('OK')	image/png	etag:%221902c01f-1403b-5316147d637c7%22	http://www.msit.in/ckeditor_assets/pictures/131/content_microwave.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/131/content_microwave.png	(from http://www.msit.in/pages/4)
17:29:04	1425951/1425951	---MCZ	200	added ('OK')	application/pdf	etag:%221a1e9511-15c21f-52d876e326d9d%22	http://www.msit.in/ckeditor_assets/attachments/46/swami_vivekananda.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/46/swami_vivekananda.pdf	(from http://www.msit.in/pages/26)
17:29:08	71296/71296	---M--	200	added ('OK')	image/png	etag:%22272d5763-11680-531614b68a33c%22	http://www.msit.in/ckeditor_assets/pictures/132/content_vlsi.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/132/content_vlsi.png	(from http://www.msit.in/pages/4)
17:29:13	74472/74472	---M--	200	added ('OK')	image/png	etag:%2228119915-122e8-531614d9d2189%22	http://www.msit.in/ckeditor_assets/pictures/133/content_communication.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/133/content_communication.png	(from http://www.msit.in/pages/4)
17:29:14	65778/65778	---M--	200	added ('OK')	image/png	etag:%2229bf9c43-100f2-5316150f9fe31%22	http://www.msit.in/ckeditor_assets/pictures/134/content_dsp.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/134/content_dsp.png	(from http://www.msit.in/pages/4)
17:29:15	66654/66654	---M--	200	added ('OK')	image/png	etag:%222a00152f-1045e-5316152649d50%22	http://www.msit.in/ckeditor_assets/pictures/135/content_controlengg.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/135/content_controlengg.png	(from http://www.msit.in/pages/4)
17:29:36	125121/125121	---M--	200	added ('OK')	image/jpeg	etag:%22b071306-1e8c1-53bf168b83168%22	http://www.msit.in/ckeditor_assets/pictures/211/content_screen_shot_2016-09-08_at_2_37_07_am.jpg	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/211/content_screen_shot_2016-09-08_at_2_37_07_am.jpg	(from http://www.msit.in/pages/4)
17:29:41	209784/209784	---M--	200	added ('OK')	image/png	etag:%221e2f2a2e-33378-5316186491f3d%22	http://www.msit.in/ckeditor_assets/pictures/136/content_oslab.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/136/content_oslab.png	(from http://www.msit.in/pages/4)
17:29:44	195191/195191	---M--	200	added ('OK')	image/png	etag:%221f0ff52b-2fa77-531618abc4d32%22	http://www.msit.in/ckeditor_assets/pictures/137/content_welab.png	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/pictures/137/content_welab.png	(from http://www.msit.in/pages/4)
